task,rel_path,result,refinements,wall_s,log
Ackermann-2,Ackermann-2.c,UNKNOWN,0,0.620,output/vguide/experiments/termination_scalar_300_vguide/logs/Ackermann-2.log
BrockschmidtCookFuhs-CAV2013-Fig1,BrockschmidtCookFuhs-CAV2013-Fig1.c,UNKNOWN,0,284.142,output/vguide/experiments/termination_scalar_300_vguide/logs/BrockschmidtCookFuhs-CAV2013-Fig1.log
GopanReps-CAV2006-Fig1a,GopanReps-CAV2006-Fig1a.c,UNKNOWN,0,288.526,output/vguide/experiments/termination_scalar_300_vguide/logs/GopanReps-CAV2006-Fig1a.log
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1,LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1.c,UNKNOWN,0,288.596,output/vguide/experiments/termination_scalar_300_vguide/logs/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1.log
Bangalore-2,Bangalore-2.c,TRUE,0,0.929,output/vguide/experiments/termination_scalar_300_vguide/logs/Bangalore-2.log
Bangalore_v2,Bangalore_v2.c,FALSE,0,0.697,output/vguide/experiments/termination_scalar_300_vguide/logs/Bangalore_v2.log
Bangalore_v4,Bangalore_v4.c,UNKNOWN,0,2.409,output/vguide/experiments/termination_scalar_300_vguide/logs/Bangalore_v4.log
Benghazi,Benghazi.c,TRUE,0,1.072,output/vguide/experiments/termination_scalar_300_vguide/logs/Benghazi.log
Urban-WST2013-Fig2-modified1000,Urban-WST2013-Fig2-modified1000.c,UNKNOWN,0,292.044,output/vguide/experiments/termination_scalar_300_vguide/logs/Urban-WST2013-Fig2-modified1000.log
Binary_Search-2,Binary_Search-2.c,UNKNOWN,0,0.586,output/vguide/experiments/termination_scalar_300_vguide/logs/Binary_Search-2.log
Cairo,Cairo.c,TRUE,0,0.787,output/vguide/experiments/termination_scalar_300_vguide/logs/Cairo.log
Cairo_step2-1,Cairo_step2-1.c,TRUE,0,0.808,output/vguide/experiments/termination_scalar_300_vguide/logs/Cairo_step2-1.log
Benghazi_nondet-2,Benghazi_nondet-2.c,TRUE,0,6.859,output/vguide/experiments/termination_scalar_300_vguide/logs/Benghazi_nondet-2.log
Cairo_step2-3,Cairo_step2-3.c,FALSE,0,0.891,output/vguide/experiments/termination_scalar_300_vguide/logs/Cairo_step2-3.log
Copenhagen,Copenhagen.c,TRUE,0,0.821,output/vguide/experiments/termination_scalar_300_vguide/logs/Copenhagen.log
Division-2,Division-2.c,FALSE,0,1.135,output/vguide/experiments/termination_scalar_300_vguide/logs/Division-2.log
Gothenburg-1,Gothenburg-1.c,TRUE,0,1.201,output/vguide/experiments/termination_scalar_300_vguide/logs/Gothenburg-1.log
Gothenburg_v2-1,Gothenburg_v2-1.c,TRUE,0,1.004,output/vguide/experiments/termination_scalar_300_vguide/logs/Gothenburg_v2-1.log
Arrays01-EquivalentConstantIndices-1,Arrays01-EquivalentConstantIndices-1.c,UNKNOWN,0,300.000,output/vguide/experiments/termination_scalar_300_vguide/logs/Arrays01-EquivalentConstantIndices-1.log
4NestedWith3Variables-1,4NestedWith3Variables-1.c,UNKNOWN,0,329.694,output/vguide/experiments/termination_scalar_300_vguide/logs/4NestedWith3Variables-1.log
Lobnya-Boolean-Reordered-2,Lobnya-Boolean-Reordered-2.c,UNKNOWN,0,2.554,output/vguide/experiments/termination_scalar_300_vguide/logs/Lobnya-Boolean-Reordered-2.log
Madrid,Madrid.c,UNKNOWN,0,2.208,output/vguide/experiments/termination_scalar_300_vguide/logs/Madrid.log
McCarthy91_Iteration,McCarthy91_Iteration.c,TRUE,0,3.855,output/vguide/experiments/termination_scalar_300_vguide/logs/McCarthy91_Iteration.log
McCarthy91_Recursion,McCarthy91_Recursion.c,UNKNOWN,0,0.545,output/vguide/experiments/termination_scalar_300_vguide/logs/McCarthy91_Recursion.log
MenloPark,MenloPark.c,TRUE,0,1.118,output/vguide/experiments/termination_scalar_300_vguide/logs/MenloPark.log
MutualRecursion_1a,MutualRecursion_1a.c,UNKNOWN,0,0.601,output/vguide/experiments/termination_scalar_300_vguide/logs/MutualRecursion_1a.log
MutualRecursion_1b,MutualRecursion_1b.c,UNKNOWN,0,0.623,output/vguide/experiments/termination_scalar_300_vguide/logs/MutualRecursion_1b.log
Mysore-2,Mysore-2.c,TRUE,0,0.887,output/vguide/experiments/termination_scalar_300_vguide/logs/Mysore-2.log
Mysore-3,Mysore-3.c,FALSE,0,0.700,output/vguide/experiments/termination_scalar_300_vguide/logs/Mysore-3.log
NestedRecursion_1a-2,NestedRecursion_1a-2.c,UNKNOWN,0,0.585,output/vguide/experiments/termination_scalar_300_vguide/logs/NestedRecursion_1a-2.log
NestedRecursion_1b,NestedRecursion_1b.c,UNKNOWN,0,0.573,output/vguide/experiments/termination_scalar_300_vguide/logs/NestedRecursion_1b.log
NestedRecursion_1c,NestedRecursion_1c.c,UNKNOWN,0,0.590,output/vguide/experiments/termination_scalar_300_vguide/logs/NestedRecursion_1c.log
